#RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
ESH25,Market Price,2025-03-11T13:59:00.000000000Z,-5,Intraday 1Min,5613.5,5616,5611.5,5613.25,2025,795,5613.25,5615.75,5611.25,5612.5,5613.75,5616,5611.5,5613.25,,9,43,1,2,16,27,1,7
ESH25,Market Price,2025-03-11T14:00:00.000000000Z,-5,Intraday 1Min,5613.25,5627.5,5598.25,5625.5,13437,6054,5612.5,5627.5,5598.25,5625.25,5613.25,5627.75,5598.75,5625.75,,3,115,1,5,7,86,1,7
ESH25,Market Price,2025-03-11T14:01:00.000000000Z,-5,Intraday 1Min,5625.5,5635.75,5619,5620.25,20771,7685,5625.25,5635.5,5618.75,5620,5625.75,5635.75,5619,5620.5,,6,115,1,11,7,91,1,9
ESH25,Market Price,2025-03-11T14:02:00.000000000Z,-5,Intraday 1Min,5620.25,5620.25,5597.75,5598.75,12426,4870,5620.25,5620.25,5597.75,5598.5,5620.5,5620.5,5598,5598.75,,1,163,1,2,9,69,1,6
ESH25,Market Price,2025-03-11T14:03:00.000000000Z,-5,Intraday 1Min,5598.5,5603,5590.25,5591.25,12066,4885,5598.5,5603,5590.25,5591.25,5598.75,5603.25,5590.5,5591.5,,1,132,1,6,6,105,1,6
ESH25,Market Price,2025-03-11T14:04:00.000000000Z,-5,Intraday 1Min,5591.5,5594.75,5577.75,5584.5,11135,4678,5591.25,5594.5,5577.75,5584.25,5591.5,5594.75,5578,5584.5,,6,197,1,5,5,68,1,5
ESH25,Market Price,2025-03-11T14:05:00.000000000Z,-5,Intraday 1Min,5584.5,5592,5583.25,5589.5,8720,4186,5584.25,5591.75,5583,5589.25,5584.5,5592,5583.25,5589.5,,5,86,1,2,4,224,1,7
ESH25,Market Price,2025-03-11T14:06:00.000000000Z,-5,Intraday 1Min,5589.25,5605,5588.25,5603,8590,3740,5589.25,5604.5,5588.25,5603,5589.5,5605,5588.5,5603.25,,1,118,1,11,7,133,1,4
ESH25,Market Price,2025-03-11T14:07:00.000000000Z,-5,Intraday 1Min,5603.25,5607.75,5597.5,5601.25,7288,3644,5603,5607.75,5597.5,5601,5603.25,5608,5597.75,5601.25,,11,71,1,9,2,123,1,5
ESH25,Market Price,2025-03-11T14:08:00.000000000Z,-5,Intraday 1Min,5601.25,5604.5,5598,5602.75,5033,2673,5601,5604.25,5597.75,5602.5,5601.25,5604.5,5598,5602.75,,8,49,1,5,5,50,1,8
ESH25,Market Price,2025-03-11T14:09:00.000000000Z,-5,Intraday 1Min,5602.75,5614.5,5602.25,5611.5,7885,3651,5602.5,5614.5,5602,5611.5,5602.75,5614.75,5602.25,5611.75,,5,44,1,6,6,172,1,9
ESH25,Market Price,2025-03-11T14:10:00.000000000Z,-5,Intraday 1Min,5611.5,5613.75,5607.25,5608,5033,2554,5611.5,5613.75,5607.25,5607.75,5611.75,5614,5607.5,5608,,5,59,1,10,9,37,1,3
ESH25,Market Price,2025-03-11T14:11:00.000000000Z,-5,Intraday 1Min,5608,5608,5601,5601.75,4989,2623,5607.75,5608,5601,5601.75,5608,5608.25,5601.25,5602,,8,69,1,9,3,45,1,8
ESH25,Market Price,2025-03-11T14:12:00.000000000Z,-5,Intraday 1Min,5602,5602.5,5595.75,5597.25,5598,2664,5602,5602.5,5595.5,5597.25,5602.25,5602.75,5596,5597.5,,2,63,1,4,19,39,1,12
ESH25,Market Price,2025-03-11T14:13:00.000000000Z,-5,Intraday 1Min,5597.5,5601.5,5597.25,5599.75,4281,2133,5597.25,5601.5,5597,5599.5,5597.5,5601.75,5597.25,5599.75,,6,49,1,5,12,95,1,10
