#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
SETH25,,Market Price,2025-03-10T18:37:00.000000000Z,-5,Intraday 1Min,6.8,6.8,6.75,6.75,13,9,6.7,6.7,6.7,6.7,6.8,6.8,6.75,6.75,,649,649,649,649,248,248,61,109
SETH25,,Market Price,2025-03-10T18:38:00.000000000Z,-5,Intraday 1Min,6.75,6.75,6.75,6.75,10,10,6.7,6.7,6.7,6.7,6.75,6.75,6.75,6.75,,649,649,649,649,108,121,99,99
SETH25,,Market Price,2025-03-10T18:39:00.000000000Z,-5,Intraday 1Min,6.75,6.8,6.75,6.75,107,13,6.7,6.75,6.7,6.7,6.75,6.8,6.75,6.75,,649,652,1,649,98,239,47,47
SETH25,,Market Price,2025-03-10T18:40:00.000000000Z,-5,Intraday 1Min,6.75,6.8,6.75,6.75,613,14,6.7,6.75,6.7,6.7,6.75,6.8,6.75,6.8,,649,652,141,649,46,235,39,233
SETH25,,Market Price,2025-03-10T18:41:00.000000000Z,-5,Intraday 1Min,6.8,6.8,6.75,6.8,20,16,6.7,6.75,6.7,6.7,6.8,6.8,6.8,6.8,,649,652,3,649,232,232,207,225
SETH25,,Market Price,2025-03-10T18:42:00.000000000Z,-5,Intraday 1Min,6.8,6.8,6.75,6.8,128,21,6.7,6.75,6.7,6.75,6.8,6.85,6.8,6.8,,649,649,1,60,42,553,1,14
SETH25,,Market Price,2025-03-10T18:43:00.000000000Z,-5,Intraday 1Min,6.8,6.8,6.75,6.8,470,22,6.75,6.75,6.75,6.75,6.8,6.8,6.8,6.8,,130,160,1,3,14,289,3,38
SETH25,,Market Price,2025-03-10T18:44:00.000000000Z,-5,Intraday 1Min,6.8,6.85,6.8,6.85,100,16,6.75,6.75,6.75,6.75,6.8,6.85,6.8,6.85,,3,32,3,32,37,642,33,641
SETH25,,Market Price,2025-03-10T18:45:00.000000000Z,-5,Intraday 1Min,6.85,6.85,6.8,6.8,13,12,6.75,6.75,6.75,6.75,6.85,6.85,6.8,6.8,,42,103,42,103,641,661,46,46
SETH25,,Market Price,2025-03-10T18:46:00.000000000Z,-5,Intraday 1Min,6.8,6.8,6.8,6.8,20,16,6.75,6.75,6.75,6.75,6.8,6.8,6.8,6.8,,103,203,88,203,44,44,26,26
SETH25,,Market Price,2025-03-10T18:47:00.000000000Z,-5,Intraday 1Min,6.8,6.8,6.8,6.8,16,14,6.75,6.75,6.75,6.75,6.8,6.8,6.8,6.8,,203,218,203,203,25,25,10,10
SETH25,,Market Price,2025-03-10T18:48:00.000000000Z,-5,Intraday 1Min,6.8,6.9,6.8,6.9,755,22,6.75,6.85,6.75,6.85,6.8,6.9,6.8,6.9,,218,220,2,73,10,592,1,188
SETH25,,Market Price,2025-03-10T18:49:00.000000000Z,-5,Intraday 1Min,6.9,6.95,6.9,6.9,851,21,6.85,6.9,6.85,6.85,6.9,7,6.9,6.95,,73,591,19,581,187,470,1,121
SETH25,,Market Price,2025-03-10T18:50:00.000000000Z,-5,Intraday 1Min,6.95,6.95,6.85,6.95,164,15,6.85,6.9,6.85,6.9,6.95,6.95,6.95,6.95,,581,596,1,72,120,120,107,107
SETH25,,Market Price,2025-03-10T18:51:00.000000000Z,-5,Intraday 1Min,6.95,7,6.95,7,336,18,6.9,6.95,6.9,6.95,6.95,7,6.95,7,,72,407,72,217,106,283,106,282
SETH25,,Market Price,2025-03-10T18:52:00.000000000Z,-5,Intraday 1Min,7,7.05,7,7.05,506,16,6.95,7,6.95,6.95,7,7.05,7,7,,217,217,6,214,281,361,9,50
SETH25,,Market Price,2025-03-10T18:53:00.000000000Z,-5,Intraday 1Min,7,7,6.95,7,631,15,6.95,6.95,6.95,6.95,7,7,7,7,,217,217,10,40,50,378,23,23
SETH25,,Market Price,2025-03-10T18:54:00.000000000Z,-5,Intraday 1Min,7,7,6.95,7,106,16,6.95,6.95,6.9,6.9,7,7,6.95,7,,40,563,40,338,22,281,1,280
SETH25,,Market Price,2025-03-10T18:55:00.000000000Z,-5,Intraday 1Min,7,7.05,6.9,7,1051,23,6.9,7,6.9,6.95,7,7.05,6.95,7,,338,469,3,5,279,386,1,65
